Index Size,Number of Iteration,avg  ~wait_time_~,Max__ Iteration,Prefetch Hit Rate
1,1,0.000412365,0.000824652,0.666667
2,4,0.00050621,0.00106814,0.666667
3,9,0.000534322,0.00115068,0.666667
4,16,0.000541269,0.0011352,0.666667
5,25,0.0005742,0.00119668,0.666667
6,36,0.000545814,0.00118426,0.666667
7,49,0.000547918,0.00115625,0.666667
8,64,0.000549123,0.00117738,0.666667
9,81,0.000548872,0.00119661,0.666667
10,100,0.000546136,0.00117892,0.666667
11,121,0.000557529,0.0011887,0.666667
12,144,0.000543131,0.00116857,0.666667
13,169,0.000538822,0.00115844,0.666667
14,196,0.000542041,0.00118565,0.666667
15,225,0.000537677,0.00116561,0.666667