Index Size,Number of Iteration,avg  ~wait_time_~,First Iteration,Prefetch Hit Rate
1,1,0.000521669,0.00104323,0.666667
2,4,0.000235852,0.00188634,0.833333
3,9,0.000169614,0.00305218,0.888889
4,16,9.55278e-05,0.0030551,0.916667
5,25,6.37731e-05,0.00318577,0.933333
6,36,4.44873e-05,0.00319938,0.944444
7,49,3.16387e-05,0.0030958,0.952381
8,64,2.52306e-05,0.00322283,0.958333
9,81,1.96011e-05,0.0031669,0.962963
10,100,1.69215e-05,0.00337295,0.963333
11,121,1.19381e-05,0.00287568,0.964323
12,144,1.07157e-05,0.00307083,0.964533
13,169,8.65983e-06,0.00290914,0.964573
14,196,8.19957e-06,0.00319398,0.965153
15,225,7.03125e-06,0.00313544,0.965233